# Matter power spectrum P(k) at redshift z=0
# for k=1.04206e-05 to 1.08688 h/Mpc,
# number of wavenumbers equal to 603
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       4.071244525559e-01       4.985410680767e+02 
       4.103303911663e-01       4.901354766982e+02 
       4.135363300782e-01       4.819626932485e+02 
       4.167422692845e-01       4.740007370618e+02 
       4.199482087786e-01       4.662870769658e+02 
       4.231541485538e-01       4.588376474195e+02 
       4.263600886038e-01       4.516368546911e+02 
       4.295660289224e-01       4.446747222952e+02 
       4.327719695037e-01       4.379465741821e+02 
       4.359779103418e-01       4.314258686287e+02 
       4.391838514310e-01       4.250965103979e+02 
       4.423897927659e-01       4.189309278122e+02 
       4.455957343411e-01       4.128913440628e+02 
       4.488016761516e-01       4.069790616530e+02 
       4.520076181922e-01       4.011534169316e+02 
       4.552135604582e-01       3.953983166775e+02 
       4.584195029446e-01       3.897061032119e+02 
       4.616254456470e-01       3.840771097605e+02 
       4.648313885609e-01       3.785134154633e+02 
       4.680373316818e-01       3.730270301410e+02 
       4.712432750056e-01       3.676157364906e+02 
       4.744492185282e-01       3.622879527459e+02 
       4.776551622454e-01       3.570682963220e+02 
       4.808611061534e-01       3.519327514159e+02 
       4.840670502485e-01       3.469134193248e+02 
       4.872729945268e-01       3.420159314695e+02 
       4.904789389849e-01       3.372469637730e+02 
       4.936848836191e-01       3.326095313295e+02 
       4.968908284260e-01       3.280940190874e+02 
       5.000967734024e-01       3.236908800201e+02 
       5.033027185450e-01       3.193869894166e+02 
       5.065086638506e-01       3.151744875283e+02 
       5.097146093161e-01       3.110435591070e+02 
       5.129205549385e-01       3.069792903186e+02 
       5.161265007149e-01       3.029966445338e+02 
       5.193324466424e-01       2.990778653533e+02 
       5.225383927183e-01       2.952294966495e+02 
       5.257443389398e-01       2.914161115022e+02 
       5.289502853042e-01       2.876531123834e+02 
       5.321562318090e-01       2.839397403254e+02 
       5.353621784517e-01       2.802818345995e+02 
       5.385681252297e-01       2.766798631509e+02 
       5.417740721406e-01       2.731311801021e+02 
       5.449800191822e-01       2.696702403488e+02 
       5.481859663521e-01       2.662653146829e+02 
       5.513919136480e-01       2.629260277599e+02 
       5.545978610678e-01       2.596473737379e+02 
       5.578038086093e-01       2.564302374310e+02 
       5.610097562705e-01       2.532766585605e+02 
       5.642157040492e-01       2.501859015252e+02 
       5.674216519436e-01       2.471550127465e+02 
       5.706275999516e-01       2.441841790628e+02 
       5.738335480713e-01       2.412671929001e+02 
       5.770394963008e-01       2.383993228710e+02 
       5.802454446384e-01       2.355765131376e+02 
       5.834513930823e-01       2.327963828861e+02 
       5.866573416306e-01       2.300584700139e+02 
       5.898632902817e-01       2.273630536634e+02 
       5.930692390340e-01       2.247099201968e+02 
       5.962751878857e-01       2.220977193328e+02 
       5.994811368354e-01       2.195243265206e+02 
       6.026870858813e-01       2.169878641947e+02 
       6.058930350221e-01       2.144871872164e+02 
       6.090989842561e-01       2.120229886680e+02 
       6.123049335819e-01       2.095971771198e+02 
       6.155108829981e-01       2.072117640160e+02 
       6.187168325033e-01       2.048677402446e+02 
       6.219227820961e-01       2.025646619028e+02 
       6.251287317751e-01       2.003005616797e+02 
       6.283346815390e-01       1.980731808566e+02 
       6.315406313865e-01       1.958808238963e+02 
       6.347465813164e-01       1.937222271463e+02 
       6.379525313274e-01       1.915985510463e+02 
       6.411584814183e-01       1.895093029040e+02 
       6.443644315879e-01       1.874541961350e+02 
       6.475703818350e-01       1.854313634830e+02 
       6.507763321584e-01       1.834386210783e+02 
       6.539822825571e-01       1.814737193381e+02 
       6.571882330299e-01       1.795351579811e+02 
       6.603941835758e-01       1.776228583939e+02 
       6.636001341937e-01       1.757376464486e+02 
       6.668060848826e-01       1.738802847973e+02 
       6.700120356414e-01       1.720510002388e+02 
       6.732179864691e-01       1.702498183361e+02 
       6.764239373647e-01       1.684742319980e+02 
       6.796298883274e-01       1.667232056684e+02 
       6.828358393561e-01       1.649961923275e+02 
       6.860417904499e-01       1.632933463422e+02 
       6.892477416079e-01       1.616154390145e+02 
       6.924536928292e-01       1.599633081092e+02 
       6.956596441129e-01       1.583366914613e+02 
       6.988655954582e-01       1.567348754041e+02 
       7.020715468642e-01       1.551563464180e+02 
       7.052774983302e-01       1.535994392200e+02 
       7.084834498552e-01       1.520631570500e+02 
