# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   79       2.814479099169e-10       6.111943988544e-14      -1.365829538875e-12       2.541720276491e-16       1.848114087177e-11       2.283719091920e-12      -8.504416486023e-15 
   80       2.850123793063e-10       6.311513204069e-14      -1.439456043716e-12       2.606697958676e-16       1.791797708807e-11       2.225022263821e-12      -8.380329637249e-15 
   81       2.886096529737e-10       6.512837997985e-14      -1.514364491015e-12       2.672508225272e-16       1.737782016583e-11       2.168592279670e-12      -8.269820402907e-15 
   82       2.922396392780e-10       6.715741929931e-14      -1.590508373763e-12       2.739153195980e-16       1.685912601140e-11       2.114283081811e-12      -8.173215004755e-15 
   83       2.959018992552e-10       6.920040414302e-14      -1.667839097003e-12       2.806635158105e-16       1.635992061186e-11       2.061904943556e-12      -8.090751169687e-15 
   84       2.995959311391e-10       7.125547628610e-14      -1.746306503886e-12       2.874956536357e-16       1.587827992334e-11       2.011271874751e-12      -8.022304451983e-15 
   85       3.033221155521e-10       7.332098803314e-14      -1.825860560343e-12       2.944119785047e-16       1.541389749911e-11       1.962356627785e-12      -7.966524230168e-15 
   86       3.070808964050e-10       7.539531436030e-14      -1.906449945710e-12       3.014127487518e-16       1.496674735182e-11       1.915158360868e-12      -7.921546144441e-15 
   87       3.108724813763e-10       7.747678602416e-14      -1.988021554543e-12       3.084982394546e-16       1.453660226328e-11       1.869654923147e-12      -7.885240275634e-15 
   88       3.146968298930e-10       7.956368960567e-14      -2.070520502620e-12       3.156687428973e-16       1.412302544179e-11       1.825801963897e-12      -7.855202434498e-15 
   89       3.185536411112e-10       8.165426755406e-14      -2.153890132955e-12       3.229245690336e-16       1.372536217954e-11       1.783532041724e-12      -7.828745450977e-15 
   90       3.224423418963e-10       8.374671823077e-14      -2.238072021800e-12       3.302660459498e-16       1.334273150989e-11       1.742753733761e-12      -7.802890463493e-15 
   91       3.263620748042e-10       8.583919595334e-14      -2.323005984657e-12       3.376935203282e-16       1.297401786478e-11       1.703350744859e-12      -7.774358208221e-15 
   92       3.303116860614e-10       8.792981103939e-14      -2.408630082280e-12       3.452073579097e-16       1.261786273206e-11       1.665181016791e-12      -7.739560308372e-15 
   93       3.342900755249e-10       9.001665803225e-14      -2.494881496098e-12       3.528079517206e-16       1.227298704736e-11       1.628111426338e-12      -7.695425197618e-15 
   94       3.382973328766e-10       9.209790513883e-14      -2.581699292038e-12       3.604957471593e-16       1.193923195536e-11       1.592129783993e-12      -7.642036904781e-15 
